,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"p[1, 7]",0.01,0.053,0.0,0.032,0.004,0.003,18.0,27.0,1.16
"p[1, 8]",0.0,0.001,0.0,0.0,0.0,0.0,30.0,170.0,1.12
"p[1, 9]",0.001,0.006,0.0,0.001,0.0,0.0,40.0,206.0,1.1
"p[2, 0]",0.003,0.019,0.0,0.001,0.001,0.001,14.0,19.0,1.21
"p[2, 1]",0.007,0.042,0.0,0.016,0.002,0.001,12.0,89.0,1.27
"p[2, 2]",0.0,0.001,0.0,0.0,0.0,0.0,11.0,67.0,1.27
"p[2, 3]",0.24,0.224,0.0,0.688,0.018,0.013,132.0,313.0,1.06
"p[2, 4]",0.15,0.175,0.0,0.507,0.018,0.012,54.0,280.0,1.07
"p[2, 5]",0.575,0.28,0.108,0.998,0.037,0.033,41.0,105.0,1.1
"p[2, 6]",0.002,0.018,0.0,0.0,0.001,0.0,13.0,26.0,1.23
"p[2, 7]",0.004,0.038,0.0,0.005,0.001,0.001,68.0,109.0,1.05
"p[2, 8]",0.013,0.072,0.0,0.026,0.003,0.002,64.0,206.0,1.07
"p[2, 9]",0.005,0.038,0.0,0.006,0.001,0.001,123.0,147.0,1.04
"p[3, 0]",0.0,0.0,0.0,0.0,0.0,0.0,13.0,59.0,1.24
"p[3, 1]",0.0,0.001,0.0,0.0,0.0,0.0,48.0,61.0,1.07
"p[3, 2]",0.0,0.002,0.0,0.0,0.0,0.0,29.0,153.0,1.11
"p[3, 3]",0.005,0.023,0.0,0.02,0.003,0.002,14.0,45.0,1.21
"p[3, 4]",0.002,0.02,0.0,0.001,0.001,0.001,12.0,20.0,1.26
"p[3, 5]",0.005,0.043,0.0,0.007,0.002,0.001,36.0,239.0,1.09
"p[3, 6]",0.001,0.007,0.0,0.001,0.0,0.0,93.0,171.0,1.03
"p[3, 7]",0.984,0.061,0.943,1.0,0.003,0.002,79.0,150.0,1.04
"p[3, 8]",0.002,0.029,0.0,0.0,0.001,0.001,45.0,58.0,1.06
"p[3, 9]",0.0,0.005,0.0,0.0,0.0,0.0,91.0,139.0,1.01
"p[4, 0]",0.642,0.244,0.205,0.994,0.018,0.013,187.0,356.0,1.02
"p[4, 1]",0.002,0.02,0.0,0.003,0.001,0.001,37.0,221.0,1.08
"p[4, 2]",0.011,0.046,0.0,0.038,0.005,0.004,68.0,133.0,1.04
"p[4, 3]",0.001,0.007,0.0,0.0,0.0,0.0,9.0,19.0,1.43
"p[4, 4]",0.002,0.026,0.0,0.003,0.001,0.001,14.0,40.0,1.21
"p[4, 5]",0.323,0.242,0.001,0.767,0.017,0.012,198.0,372.0,1.02
"p[4, 6]",0.011,0.04,0.0,0.046,0.003,0.002,10.0,23.0,1.35
"p[4, 7]",0.002,0.009,0.0,0.007,0.001,0.0,81.0,292.0,1.04
"p[4, 8]",0.003,0.026,0.0,0.003,0.002,0.001,43.0,146.0,1.09
"p[4, 9]",0.003,0.022,0.0,0.004,0.001,0.001,77.0,342.0,1.05
"p[5, 0]",0.002,0.012,0.0,0.005,0.0,0.0,31.0,326.0,1.09
"p[5, 1]",0.003,0.025,0.0,0.002,0.001,0.001,24.0,159.0,1.13
