,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"p[12, 1]",0.0,0.0,0.0,0.0,0.0,0.0,20.0,164.0,1.15
"p[12, 2]",0.0,0.002,0.0,0.0,0.0,0.0,18.0,111.0,1.17
"p[12, 3]",0.326,0.224,0.002,0.727,0.008,0.006,731.0,1252.0,1.0
"p[12, 4]",0.0,0.0,0.0,0.0,0.0,0.0,9.0,57.0,1.36
"p[12, 5]",0.0,0.0,0.0,0.0,0.0,0.0,27.0,177.0,1.12
"p[12, 6]",0.0,0.001,0.0,0.0,0.0,0.0,10.0,22.0,1.34
"p[12, 7]",0.0,0.002,0.0,0.0,0.0,0.0,7.0,34.0,1.62
"p[12, 8]",0.556,0.228,0.152,0.94,0.008,0.006,708.0,1229.0,1.0
"p[12, 9]",0.118,0.119,0.0,0.353,0.006,0.004,357.0,1106.0,1.02
"p[12, 10]",0.0,0.001,0.0,0.0,0.0,0.0,23.0,332.0,1.13
"p[13, 0]",0.004,0.013,0.0,0.017,0.0,0.0,35.0,336.0,1.09
"p[13, 1]",0.002,0.011,0.0,0.004,0.0,0.0,102.0,417.0,1.04
"p[13, 2]",0.002,0.009,0.0,0.006,0.0,0.0,62.0,245.0,1.06
"p[13, 3]",0.92,0.061,0.809,0.998,0.002,0.001,1184.0,1996.0,1.01
"p[13, 4]",0.002,0.011,0.0,0.009,0.0,0.0,108.0,316.0,1.04
"p[13, 5]",0.002,0.009,0.0,0.004,0.0,0.0,37.0,446.0,1.08
"p[13, 6]",0.002,0.009,0.0,0.004,0.0,0.0,47.0,207.0,1.07
"p[13, 7]",0.001,0.008,0.0,0.003,0.0,0.0,26.0,296.0,1.11
"p[13, 8]",0.022,0.03,0.0,0.075,0.001,0.001,339.0,726.0,1.02
"p[13, 9]",0.043,0.042,0.0,0.12,0.001,0.001,736.0,1260.0,1.02
"p[13, 10]",0.002,0.011,0.0,0.005,0.0,0.0,96.0,405.0,1.05
"p[14, 0]",0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,1.56
"p[14, 1]",0.0,0.0,0.0,0.0,0.0,0.0,16.0,44.0,1.18
"p[14, 2]",0.0,0.0,0.0,0.0,0.0,0.0,20.0,165.0,1.15
"p[14, 3]",0.014,0.025,0.0,0.05,0.001,0.001,246.0,605.0,1.02
"p[14, 4]",0.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,1.39
"p[14, 5]",0.0,0.0,0.0,0.0,0.0,0.0,20.0,77.0,1.14
"p[14, 6]",0.0,0.003,0.0,0.0,0.0,0.0,9.0,26.0,1.37
"p[14, 7]",0.0,0.0,0.0,0.0,0.0,0.0,7.0,31.0,1.66
"p[14, 8]",0.296,0.172,0.017,0.601,0.017,0.012,93.0,783.0,1.04
"p[14, 9]",0.69,0.173,0.381,0.973,0.015,0.012,115.0,823.0,1.03
"p[14, 10]",0.0,0.0,0.0,0.0,0.0,0.0,19.0,216.0,1.15
"p[15, 0]",0.999,0.005,0.995,1.0,0.0,0.0,31.0,521.0,1.1
"p[15, 1]",0.0,0.003,0.0,0.0,0.0,0.0,19.0,150.0,1.18
"p[15, 2]",0.0,0.002,0.0,0.0,0.0,0.0,10.0,42.0,1.34
"p[15, 3]",0.0,0.0,0.0,0.0,0.0,0.0,7.0,48.0,1.57
"p[15, 4]",0.0,0.002,0.0,0.0,0.0,0.0,7.0,18.0,1.51
"p[15, 5]",0.0,0.003,0.0,0.0,0.0,0.0,9.0,33.0,1.39
"p[15, 6]",0.0,0.001,0.0,0.0,0.0,0.0,16.0,108.0,1.18
"p[15, 7]",0.0,0.002,0.0,0.0,0.0,0.0,9.0,14.0,1.38
"p[15, 8]",0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,1.74
"p[15, 9]",0.0,0.0,0.0,0.0,0.0,0.0,8.0,41.0,1.48
"p[15, 10]",0.0,0.001,0.0,0.0,0.0,0.0,9.0,103.0,1.42
"p[16, 0]",0.005,0.033,0.0,0.011,0.001,0.0,60.0,373.0,1.05
"p[16, 1]",0.004,0.029,0.0,0.006,0.001,0.0,164.0,381.0,1.03
"p[16, 2]",0.003,0.02,0.0,0.004,0.0,0.0,255.0,460.0,1.03
"p[16, 3]",0.016,0.034,0.0,0.072,0.002,0.001,163.0,441.0,1.04
"p[16, 4]",0.004,0.029,0.0,0.004,0.001,0.0,57.0,306.0,1.06
"p[16, 5]",0.005,0.032,0.0,0.005,0.001,0.0,113.0,652.0,1.04
"p[16, 6]",0.003,0.023,0.0,0.004,0.001,0.0,64.0,253.0,1.06
"p[16, 7]",0.003,0.025,0.0,0.002,0.001,0.0,39.0,430.0,1.07
"p[16, 8]",0.074,0.09,0.0,0.241,0.01,0.007,50.0,721.0,1.06
"p[16, 9]",0.878,0.12,0.649,1.0,0.008,0.006,158.0,1115.0,1.03
"p[16, 10]",0.004,0.027,0.0,0.005,0.001,0.0,58.0,682.0,1.06
"p[17, 0]",0.0,0.0,0.0,0.0,0.0,0.0,14.0,136.0,1.22
"p[17, 1]",0.0,0.005,0.0,0.0,0.0,0.0,52.0,487.0,1.08
"p[17, 2]",0.0,0.002,0.0,0.0,0.0,0.0,57.0,286.0,1.05
"p[17, 3]",0.02,0.03,0.0,0.072,0.002,0.001,201.0,522.0,1.03
"p[17, 4]",0.0,0.003,0.0,0.0,0.0,0.0,15.0,66.0,1.19
"p[17, 5]",0.0,0.004,0.0,0.0,0.0,0.0,48.0,251.0,1.07
"p[17, 6]",0.0,0.007,0.0,0.0,0.0,0.0,21.0,247.0,1.14
"p[17, 7]",0.0,0.005,0.0,0.0,0.0,0.0,9.0,141.0,1.38
"p[17, 8]",0.044,0.048,0.0,0.136,0.006,0.004,46.0,662.0,1.06
"p[17, 9]",0.935,0.059,0.827,0.999,0.005,0.004,112.0,1272.0,1.03
"p[17, 10]",0.0,0.005,0.0,0.0,0.0,0.0,40.0,607.0,1.09
"p[18, 0]",0.004,0.013,0.0,0.017,0.0,0.0,35.0,336.0,1.09
"p[18, 1]",0.002,0.011,0.0,0.004,0.0,0.0,102.0,417.0,1.04
"p[18, 2]",0.002,0.009,0.0,0.006,0.0,0.0,62.0,245.0,1.06
